PSD_0.0Hz,PSD_25.0Hz,PSD_50.0Hz,Emotion
226.935,1557.766667,1329.081667,Happy
77.76,691.1233333,612.06,Happy
70.72666667,627.5333333,556.8066667,Happy
37.00166667,441.0141667,403.44,Happy
11.48166667,230.3541667,218.4066667,Happy
3.84,92.61666667,88.16666667,Happy
1.926666667,61.35,58.90666667,Happy
1.306666667,51.43083333,49.88166667,Happy
1.706666667,49.5375,47.60166667,Happy
0.96,36.20416667,35.04166667,Happy
0.24,19.68,19.44,Happy
2.666666667,6.050833333,3.375,Happy
4.335,16.37666667,12.04166667,Happy
6.406666667,32.24333333,25.62666667,Happy
4.681666667,17.6475,12.90666667,Happy
2.801666667,10.55416667,7.706666667,Happy
1.706666667,6.424166667,4.681666667,Happy
1.041666667,3.9,2.801666667,Happy
0.601666667,2.246666667,1.601666667,Happy
0.326666667,1.224166667,0.881666667,Happy
0.001666667,0.1875,0.166666667,Happy
0.06,1.186666667,1.126666667,Happy
14.10666667,146.0166667,132.54,Happy
70.72666667,627.5333333,556.8066667,Happy
37.00166667,441.0141667,403.44,Happy
11.48166667,230.3541667,218.4066667,Happy
3.84,92.61666667,88.16666667,Happy
1.926666667,61.35,58.90666667,Happy
1.306666667,51.43083333,49.88166667,Happy
1.706666667,49.5375,47.60166667,Happy
0.96,36.20416667,35.04166667,Happy
0.24,19.68,19.44,Happy
2.666666667,6.050833333,3.375,Happy
4.335,16.37666667,12.04166667,Happy
6.406666667,32.24333333,25.62666667,Happy
4.681666667,17.6475,12.90666667,Happy
2.801666667,10.55416667,7.706666667,Happy
1.706666667,6.424166667,4.681666667,Happy
1.041666667,3.9,2.801666667,Happy
0.601666667,2.246666667,1.601666667,Happy
0.326666667,1.224166667,0.881666667,Happy
0.001666667,0.1875,0.166666667,Happy
0.06,1.186666667,1.126666667,Happy
14.10666667,146.0166667,132.54,Happy
70.72666667,627.5333333,556.8066667,Happy
37.00166667,441.0141667,403.44,Happy
11.48166667,230.3541667,218.4066667,Happy
3.84,92.61666667,88.16666667,Happy
1.926666667,61.35,58.90666667,Happy
1.306666667,51.43083333,49.88166667,Happy
1.706666667,49.5375,47.60166667,Happy
0.96,36.20416667,35.04166667,Happy
0.24,19.68,19.44,Happy
2.666666667,6.050833333,3.375,Happy
4.335,16.37666667,12.04166667,Happy
6.406666667,32.24333333,25.62666667,Happy
4.681666667,17.6475,12.90666667,Happy
2.801666667,10.55416667,7.706666667,Happy
1.706666667,6.424166667,4.681666667,Happy
1.041666667,3.9,2.801666667,Happy
0.601666667,2.246666667,1.601666667,Happy
0.326666667,1.224166667,0.881666667,Happy
0.001666667,0.1875,0.166666667,Happy
0.06,1.186666667,1.126666667,Happy
14.10666667,146.0166667,132.54,Happy
199.5266667,1289.176667,1088.106667,Happy
217.2016667,1686.736667,1469.535,Happy
171.735,1518.736667,1347.001667,Happy
117.9266667,1154.576667,1034.906667,Happy
204.1666667,1134.844167,930.015,Happy
151.0016667,1061.203333,910.2016667,Happy
136.3266667,1117.610833,980.4816667,Happy
135.375,1275.256667,1139.881667,Happy
117.9266667,1280.9175,1162.041667,Happy
85.12666667,1104.333333,1019.206667,Happy
0.96,36.20416667,35.04166667,Happy
0.24,19.68,19.44,Happy
2.666666667,6.050833333,3.375,Happy
4.335,16.37666667,12.04166667,Happy
6.406666667,32.24333333,25.62666667,Happy
4.681666667,17.6475,12.90666667,Happy
2.801666667,10.55416667,7.706666667,Happy
1.706666667,6.424166667,4.681666667,Happy
1.041666667,3.9,2.801666667,Happy
0.601666667,2.246666667,1.601666667,Happy
0.326666667,1.224166667,0.881666667,Happy
0.001666667,0.1875,0.166666667,Happy
0.06,1.186666667,1.126666667,Happy
14.10666667,146.0166667,132.54,Happy
0.96,36.20416667,35.04166667,Happy
0.24,19.68,19.44,Happy
3.375,44.12083333,40.56,Happy
266.6666667,2078.6775,1813.081667,Happy
558.735,595.7366667,37.00166667,Happy
1019.206667,2848.83,1830.506667,Happy
318.2816667,753.3608333,433.5,Happy
576.24,592.4308333,17.00166667,Happy
145.0416667,146.3533333,0.281666667,Happy
235.6266667,393.51,160.1666667,Happy
30.375,435.4566667,405.0816667,Happy
0.006666667,1261.506667,1261.5,Happy
264.0066667,297.7233333,34.56,Happy
384.0,462.0441667,78.48166667,Happy
254.8016667,433.0166667,178.215,Happy
741.4816667,3720.763333,2979.281667,Happy
1058.681667,1756.363333,697.6816667,Happy
91.26,1117.384167,1027.041667,Happy
420.0066667,453.4908333,34.08166667,Happy
198.375,2594.376667,2396.001667,Happy
390.4266667,458.9041667,67.335,Happy
9.375,101.4166667,92.04166667,Happy
152.0066667,885.63,734.8266667,Happy
8.401666667,241.7666667,234.375,Happy
995.8816667,1294.096667,298.215,Happy
343.5266667,1817.816667,1472.666667,Happy
661.5,3722.750833,3060.041667,Happy
272.0266667,282.1633333,11.20666667,Happy
172.8066667,2071.363333,1901.04,Happy
1029.66,2245.186667,1215.526667,Happy
8.64,1715.546667,1706.906667,Happy
0.666666667,933.1733333,932.5066667,Happy
250.9066667,1753.203333,1504.166667,Happy
115.2816667,245.0733333,129.735,Happy
710.6816667,1112.483333,401.8016667,Happy
365.04,377.6108333,13.20166667,Happy
22.815,993.0966667,970.2816667,Happy
763.8816667,2166.166667,1401.481667,Happy
100.0416667,119.1233333,19.08166667,Happy
71.415,212.2733333,139.2016667,Happy
450.6666667,547.0041667,96.80166667,Happy
642.735,647.7766667,5.041666667,Happy
318.2816667,319.7808333,0.806666667,Happy
